,Strength(ABV),Proof,Age Statement,Distillery,State,Brand Owner,Price Range,Drink Recommendation 
1792 Small Batch Kentucky Straight Bourbon Whiskey,41.9,83.8,NAS,Barton 1792,Kentucky,Sazerac ,$$,"Rocks, Cocktail"
A.D. Laws Four Grain Straight Bourbon Whiskey,47.5,95,2 Years,Laws Whiskey House,Colorado,Laws Whiskey House,$$$,"Neat, Cocktail"
A.D. Laws Four Grain Straight Bourbon Whiskey Bottled-in-Bond,50,100,4 Years,Laws Whiskey House,Colorado,Laws Whiskey House,$$$,Neat
Ancient Age Kentucky Straight Bourbon Whiskey,40,80,3 Years,Buffalo Trace,Kentucky,Age International,$,Cocktail
Angel's Envy Kentucky Straight Bourbon Whiskey Finished in Port Wine Barrels,43.3,86.6,NAS,Undisclosed,Kentucky,Bacardi Limited,$$,"Neat, Rocks, Cocktail"
Baker's Kentucky Straight Bourbon Whiskey,53.5,107,7 Years,Jim Beam,Kentucky,Beam Suntory,$$$,"Neat, Water"
Basil Hayden's Kentucky Straight Bourbon Whiskey,40,80,NAS,Jim Beam,Kentucky,Beam Suntory,$$,"Rocks, Cocktail"
Beer Barrel Bourbon,40,80,NAS,New Holland Artisan,Michigan,New Holland Artisan Spirits,$$,"Neat, Cocktail"
Belle Meade Sour Mash Straight Bourbon Whiskey,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$,"Neat, Cocktail"
Belle Meade Single Barrel Bourbon,54.8,109.6,10 Years,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Water, Cocktail"
Belle Meade Bourbon Sherry Cask Finish,45.2,90.4,9 Years,MGP,Indiana,Nelson's Green Brier Distillery,$$$,Neat
Belle Meade Bourbon Cognac Cask Finish,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Cocktail"
Belle Meade Bourbon Madeira Cask Finish,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Water"
Blanton's Original Single Barrel Straight Bourbon Whiskey,46.5,93,NAS,Buffalo Trace,Kentucky,Age International,$$$,"Neat, Rocks"
Blanton's Special Reserve Single Barrel Kentucky Straight Bourbon Whiskey,40,80,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,Cocktail
Blanton's Gold Edition Single Barrel Kentucky Straight Bourbon Whiskey,51.5,103,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,"Neat, Cocktail"
Blanton's Straight from the Barrel Kentucky Straight Bourbon Whiskey,64.1,128.2,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,"Neat, Cocktail"
Buffalo Trace Kentucky Straight Bourbon Whiskey,45,90,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,"Neat, Rocks, Cocktail"
Bulleit Bourbon Kentucky Straight Bourbon Whiskey,45,90,NAS,Four Roses,Kentucky,Diageo,$$,"Neat, Rocks, Cocktail"
Bulleit Bourbon Barrel Strength Kentucky Straight Bourbon Whiskey,59.6,119.2,NAS,Four Roses,Kentucky,Diageo,$$$,Water
Colonel E.H. Taylor Small Batch Bottled-in-Bond Kentucky Bourbon,50,100,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,Cocktail
Coppercraft Straight Bourbon Whiskey,40,80,2 Years,Coppercraft,Michigan,Coppercraft,$$,"Neat, Cocktail"
Coppercraft Cask Strength Straight Bourbon Whiskey,58.55,117.1,2 Years,Coppercraft,Michigan,Coppercraft,$$$,"Rocks, Cocktail"
David Nicholson 1843 Kentucky Straight Bourbon Whiskey,50,100,NAS,Undisclosed,Kentucky,Luxco,$$,Cocktail
David Nicholson Reserve Kentucky Straight Bourbon Whiskey,50,100,NAS,Undisclosed,Kentucky,Luxco,$$,Rocks
Do Good Nighthawk Bourbon Whiskey,45.55,91.1,2 Years,Do Good,California,Do Good,$$,"Rocks, Cocktail"
Do Good California Bourbon Whiskey,45.55,91.1,2 Years,Do Good,California,Do Good,$$,Cocktail
Dry Fly Bourbon 101 Straight Bourbon Whiskey,50.5,101,4 Years,Dry Fly,Washington,Dry Fly,$$,"Neat, Water, Rocks, Cocktail"
Eagle Rare Kentucky Straight Bourbon Whiskey,45,90,10 Years,Buffalo Trace,Kentucky,Sazerac ,$$,"Neat, Water, Cocktail"
Elijah Craig Small Batch Kentucky Straight Bourbon Whiskey,47,94,NAS,Heaven Hill,Kentucky,Heaven Hill,$$,"Neat, Rocks, Cocktail"
Elijah Craig Barrel Proof Small Batch Kentucky Straight Bourbon Whiskey,63.5,127,12 Years,Heaven Hill,Kentucky,Heaven Hill,$$$,"Water, Rocks"
Elijah Craig Single Barrel Kentucky Straight Bourbon Whiskey Aged 18 Years,45,90,18 Years,Heaven Hill,Kentucky,Heaven Hill,$$$$$,Neat
Elijah Craig Single Barrel Kentucky Straight Bourbon Whiskey Aged 23 Years,45,90,23 Years,Heaven Hill,Kentucky,Heaven Hill,$$$$$,Neat
Elmer T. Lee Single Barrel Sour Mash Kentucky Straight Bourbon Whiskey,45,90,NAS,Buffalo Trace,Kentucky,Age International,$$$$,Neat
Evan Williams Black Label Kentucky Straight Bourbon Whiskey,43,86,NAS,Heaven Hill,Kentucky,Heaven Hill,$,"Neat, Cocktail"
Evan Williams White Label Bottled-in-Bond Kentucky Straight Bourbon Whiskey,50,100,NAS,Heaven Hill,Kentucky,Heaven Hill,$,"Water, Cocktail"
Evan Williams 1783 Small Batch Sour Mash Kentucky Straight Bourbon Whiskey,43,86,NAS,Heaven Hill,Kentucky,Heaven Hill,$,"Neat, Cocktail"
Evan Williams Single Barrel Vintage Kentucky Straight Bourbon Whiskey,43.3,86.6,NAS,Heaven Hill,Kentucky,Heaven Hill,$$,"Neat, Cocktail"
FEW Bourbon Whiskey,46.5,93,1 Year,FEW Spirits,Illinois,FEW Spirits,$$ ,Neat
FEW Bourbon from that Boutique-y Whiskey Company,51.8,103.6,2 Years,FEW Spirits,Illinois,That Boutique-y Whiskey Company,$$$,Neat
Four Roses Yellow Label Kentucky Straight Bourbon Whiskey,40,80,NAS,Four Roses,Kentucky,Kirin Brewery Company,$,"Neat, Cocktail"
Four Roses Small Batch Kentucky Straight Bourbon Whiskey,45,90,NAS,Four Roses,Kentucky,Kirin Brewery Company,$$,Neat
Garrison Brothers Texas Straight Bourbon Whiskey,47,94,3 Years,Garrison Brothers Distillery,Texas,Garrison Brothers Distillery,$$$$,"Neat, Cocktail"
Garrison Brothers Single Barrel Texas Straight Bourbon Whiskey,47,94,3 Years,Garrison Brothers Distillery,Texas,Garrison Brothers Distillery,$$$$,Neat
George Dickel Sour Mash Tennessee Whiskey Superior No. 12,45,90,NAS,George A. Dickel & Co,Tennessee,Diageo,$$,"Neat, Rocks, Cocktail"
George Dickel Sour Mash Tennessee Whiskey Classic No. 8,40,80,NAS,George A. Dickel & Co,Tennessee,Diageo,$,"Neat, Cocktail"
George Dickel Barrel Select Tennessee Whiskey ,43,86,NAS,George A. Dickel & Co,Tennessee,Diageo,$$,"Neat, Rocks, Cocktail"
George T. Stagg Kentucky Straight Bourbon Whiskey,69.1,138.2,NAS,Buffalo Trace,Kentucky,Sazerac ,$$$$$,Water
Gun Fighter American Bourbon Whiskey Double Cask,50,100,6 Months,Undisclosed,Colorado,Golden Moon Distillery,$$,"Neat, Water, Cocktail"
Heaven Hill Bottled-in-Bond Old Style Bourbon 6 Years Old,50,100,6 Years,Heaven Hill,Kentucky,Heaven Hill,$,Cocktail
Henry McKenna Single Barrel Bottled-in-Bond Kentucky Straight Bourbon Whiskey,50,100,10 Years,Heaven Hill,Kentucky,Heaven Hill,$$,"Neat, Water, Cocktail"
High West Whiskey American Prarie Bourbon A Blend of Straight Bourbon Whiskeys,46,92,2 Years,MGP,Indiana,Constellation Brands,$$,"Neat, Cocktail"
Hillrock Solera Aged Bourbon Whiskey,46.3,92.6,NAS,Hillrock Estate Distillery,New York,Hillrock Estate Distillery,$$$$,"Neat, Cocktail"
Hooker's House Bourbon Sonoma-Style American Bourbon,50,100,6 Years,MGP,Indiana,Prohibition Spirits,$$,"Neat, Rocks, Cocktail"
Hudson Baby Bourbon Whiskey,46,92,1 Year,Tuthilltown Spirits,New York,William Grant & Sons,$$$,"Neat, Cocktail"
Iowa Bourbon Whiskey,43,86,NAS,Cedar Ridge Distillery,Iowa,Cedar Ridge Distillery,$$,"Neat, Cocktail"
Ironroot Promethean Bourbon Whiskey,51.55,103.1,16 Months,Ironroot Republic Distilling,Texas,Ironroot Republic Distilling,$$$,"Neat, Cocktail"
Ironroot Hubris Corn Whiskey,58.9,117.8,16 Months,Ironroot Republic Distilling,Texas,Ironroot Republic Distilling,$$$,"Water, Rocks, Cocktail"
J. Henry & Sons Small Batch Wisconsin Straight Bourbon Whiskey,46,92,5 Years,Undisclosed,Wisconsin,Henry Farms Prarie Spirits,$$$,"Neat, Cocktail"
Jack Daniel's Old No. 7 Sour Mash Tennessee Whiskey,40,80,NAS,Jack Daniel's Distillery,Tennessee,Brown-Forman,$$,Cocktail
Jack Daniel's Gentleman Jack Tennessee Whiskey,40,80,NAS,Jack Daniel's Distillery,Tennessee,Brown-Forman,$$,Neat
Jack Daniel's Sinatra Select Tennessee Whiskey,45,90,NAS,Jack Daniel's Distillery,Tennessee,Brown-Forman,$$$$$,"Neat, Rocks"
Jefferson's Very Small Batch Kentucky Straight Bourbon Whiskey,41.5,83,NAS,Kentucky Artisan Distillery,Kentucky,Castle Brands,$$,"Water, Cocktail"
Jefferson's Very Old Kentucky Straight Bourbon Whiskey Very Small Batch,45.1,90.2,NAS,Kentucky Artisan Distillery,Kentucky,Castle Brands,$$,"Neat, Water"
Jefferson's Ocean Aged at Sea Kentucky Straight Bourbon Whiskey Very Small Batch,45,90,NAS,Kentucky Artisan Distillery,Kentucky,Castle Brands,$$$$,"Neat, Rocks"
Jim Beam White Label Kentucky Straight Bourbon Whiskey,40,80,NAS,Jim Beam,Kentucky,Beam Suntory,$ ,"Rocks, Cocktail"
Jim Beam Black Extra-Aged Kentucky Straight Bourbon Whiskey,43,86,NAS,Jim Beam,Kentucky,Beam Suntory,$,"Water, Cocktail"
Jim Beam Devil's Cut Kentucky Straight Bourbon Whiskey,45,90, NAS,Jim Beam,Kentucky,Beam Suntory,$$,Cocktail
Jim Beam Signature Craft Kentucky Straight Bourbon Whiskey,43,86,12 Years,Jim Beam,Kentucky,Beam Suntory,$$,"Neat, Rocks, Cocktail"
Jim Beam Distiller's Masterpiece Bourbon Whiskey Finished in PX Sherry Casks,50,100,NAS,Jim Beam,Kentucky,Beam Suntory,$$$$$,"Neat, Rocks"
John J. Bowman Single Barrel Virginia Straight Bourbon Whiskey,50,100,NAS,Buffalo Trace,Virginia,Sazerac ,$$$,"Neat, Water"
Johnny Drum Private Stock Straight Kentucky Straight Bourbon Whiskey,50.5,101,NAS,Undisclosed,Kentucky,Kentucky Bourbon Distillers,$$,Cocktail
Joseph Magnus Straight Bourbon Whiskey,50,100,NAS,MGP,Indiana,Jos. A. Magnus & Co.,$$$$,Neat
Joseph Magnus Cigar Blend Bourbon Whiskey,54.35,108.7,NAS,MGP,Indiana,Jos. A. Magnus & Co.,$$$$$,"Neat, Water"
Kentucky Vintage Straight Kentucky Bourbon Whiskey,45,90,NAS,Undisclosed,Kentucky,Kentucky Bourbon Distillers,$$,Cocktail
Kings County Straight Bourbon Whiskey,45,90,2 Years,Kings County Distillery,New York,Kings County Distillery,$$$$,"Neat, Water, Cocktail"
Kings County Bottled-in-Bond Straight Bourbon Whiskey,50,100,2 Years,Kings County Distillery,New York,Kings County Distillery,$$$$$,"Neat, Water, Cocktail"
Kings County Barrel Strength Straight Bourbon Whiskey,64,128,2 Years,Kings County Distillery,New York,Kings County Distillery,$$$$,"Neat, Rocks"
Kings County Peated Bourbon Whiskey,45,90,1 Year,Kings County Distillery,New York,Kings County Distillery,$$$$,Neat
Knobb Creek Kentucky Straight Bourbon Whiskey,50,100,NAS,Jim Beam,Kentucky,Beam Suntory,$$,"Rocks, Cocktail"
Larceny Kentucky Straight Bourbon Whiskey Very Special Small Batch,46,92,NAS,Heaven Hill,Kentucky,Heaven Hill,$$,"Neat, Cocktail"
Maker's Mark Kentucky Straight Bourbon Whiskey,45,90,NAS,Maker's Mark Distillery,Kentucky,Beam Suntory,$$,"Rocks, Cocktail"
Maker's 46 Kentucky Bourbon Whiskey Barrel Finished with Oak Staves,47,94,NAS,Maker's Mark Distillery,Kentucky,Beam Suntory,$$,"Water, Rocks, Cocktail"
McAfee's Benchmark Old No. 8 Brand Kentucky Straight Bourbon Whiskey,40,80,3 Years,Buffalo Trace,Kentucky,Sazerac ,$,"Rocks, Cocktail"
Michter's Small Batch US*1 Kentucky Straight Bourbon Whiskey,45.7,91.4,NAS,Undisclosed,Kentucky,Chatham Imports,$$,"Neat, Rocks, Cocktail"
Murray Hill Club Bourbon Whiskey A Blend,51.5,103,NAS,MGP,Indiana,Jos. A. Magnus & Co.,$$$$,Neat
Nelson's First 108 Sour Mash Tennessee Whiskey,45.2,90.4,NAS,Nelson's Green Brier Distillery,Tennessee,Nelson's Green Brier Distillery,$$,"Neat, Cocktail"
Nelson's First 108 Single Barrel Sour Mash Tennessee Whiskey,60.5,121,NAS,Nelson's Green Brier Distillery,Tennessee,Nelson's Green Brier Distillery,$$$,"Neat, Rocks, Cocktail"
Noah's Mill Genuine Bourbon Whiskey,57.15,114.3,NAS,Undisclosed,Kentucky,Kentucky Bourbon Distillers,$$$,"Neat, Water, Rocks"
Old Bardstown Estate Bottled Kentucky Straight Bourbon Whiskey,50.5,101,NAS,Undisclosed,Kentucky,Kentucky Bourbon Distillers,$$,"Neat, Water, Cocktail"
Old Crow Sour Mash Kentucky Straight Bourbon,40,80,3 Years,Jim Beam,Kentucky,Beam Suntory,$ ,Cocktail
Old Forrester Signature Kentucky Straight Bourbon Whiskey,50,100,NAS,Brown-Forman Distillery,Kentucky,Brown-Forman,$$,Cocktail
Old Forrester 1870 Original Batch Kentucky Straight Bourbon Whiskey,45,90,NAS,Brown-Forman Distillery,Kentucky,Brown-Forman,$$,"Neat, Cocktail"
Old Forrester 1897 Bottled-in-Bond Kentucky Straight Bourbon Whiskey,50,100,NAS,Brown-Forman Distillery,Kentucky,Brown-Forman,$$$,"Neat, Cocktail"
Old Gran-Dad Kentucky Straight Bourbon Whiskey,40,80,NAS,Jim Beam,Kentucky,Beam Suntory,$,"Neat, Cocktail"
Old Gran-Dad Bonded Kentucky Straight Bourbon Whiskey,50,100,NAS,Jim Beam,Kentucky,Beam Suntory,$$,"Neat, Rocks"
Oregon Spirit Distillers Straight American Bourbon Whiskey,47,94,4 Years,Oregon Spirit Distillers,Oregon,Oregon Spirit Distillers,$$,"Rocks, Cocktail"
Oregon Spirit Distillers Bottled-in-Bond Bourbon Whiskey,50,100,4 Years,Oregon Spirit Distillers,Oregon,Oregon Spirit Distillers,$$,"Rocks, Cocktail"
Outlaw Bourbon Whiskey,46,92,6 Months,Yellow Rose Distilling,Texas,Yellow Rose Distilling,$$$,"Neat, Cocktail"
Pappy Van Winkle's Family Reserve Kentucky Straight Bourbon Whiskey 15 Years Old,53.5,107,15 Years,Buffalo Trace,Kentucky,Old Rip Van Winkle Distillery,$$$$$,"Neat, Water"
Pappy Van Winkle's Family Reserve Kentucky Straight Bourbon Whiskey 20 Years Old,45.2,90.4,20 Years,Buffalo Trace,Kentucky,Old Rip Van Winkle Distillery,$$$$$,Neat
Pappy Van Winkle's Family Reserve Kentucky Straight Bourbon Whiskey 23 Years Old,47.8,95.6,23 Years,Buffalo Trace,Kentucky,Old Rip Van Winkle Distillery,$$$$$,"Neat, Water"
Peach Street Colorado Straight Bourbon Whiskey,46,92,2 Years,Peach Street Distillers,Colorado,Peach Street Distillers,$$$,"Neat, Cocktail"
Rebel Yell Kentucky Straight Bourbon Whiskey,40,80,NAS,Undisclosed,Kentucky,Undisclosed,$,Cocktail
Rebel Yell Small Batch Reserve Kentucky Straight Bourbon Whiskey,45,90,NAS,Undisclosed,Kentucky,Undisclosed,$$,Cocktail
Rock Town Arkansas Bourbon Whiskey,46,92,1 Year,Rock Town Distillery,Arkansas,Rock Town Distillery,$$,Neat
Rowan's Creek Straight Kentucky Bourbon Whiskey,50.05,100.1,NAS,Undisclosed,Kentucky,Kentucky Bourbon Distillers,$$,"Neat, Water, Cocktail"
Russell's Reserve Kentucky Straight Bourbon Whiskey 10 Years Old,45,90,10 Years,Wild Turkey Distillery,Kentucky,Gruppo Campari,$$,"Neat, Cocktail"
Smooth Amber Old Scout Straight Bourbon Whiskey,49.5,99,6-7 Years,MGP,Indiana,Pernod Ricard,$$,Neat
Smooth Amber Old Scout Ten Straight Bourbon Whiskey 10 Years Old,50,100,10 Years,MGP,Indiana,Pernod Ricard,$$$,Neat
Smooth Amber Contradiction A Blend of Straight Bourbon Whiskies,50,100,NAS,MGP,Indiana,Pernod Ricard,$$$,"Neat, Rocks"
Smooth Amber Wheated Bourbon Straight Bourbon Whiskey,50,100,NAS,Smooth Amber Spirits,West Virginia,Pernod Ricard,$$$,Neat
Stein Distillery Small Batch Straight Bourbon Whiskey Aged 5 Years,40,80,5 Years,Stein Distillery,Oregon,Stein Distillery,$$,"Neat, Cocktail"
Sugar House Distillery Bourbon Whiskey,43,86,1 Year,Sugar House Distillery,Utah,Sugar House Distillery ,$$,"Neat, Cocktail"
Texas Bourbon Small Batch Whiskey,45,90,2 Years,Fire Oak Distillery,Texas,Fire Oak Distillery,$$,"Neat, Cocktail"
Tom's Foolery Bonded Bourbon Ohio Straight Bourbon Whiskey,50,100,4 Years,Tom's Foolery Distillery,Ohio,Tom's Foolery Distillery,$$$,"Water, Cocktail"
TX Texas Straight Bourbon Whiskey,45,90,NAS,Firestone & Robertson Distilling Co,Texas,Firestone & Robertson Distilling,$$,"Neat, Cocktail"
Van Brunt Stillhouse Bourbon Whiskey,42,84,1 Year,Van Brunt Stillhouse,New York,Van Brunt Stillhouse,$$$,Cocktail
Waitsburg Bourbon Whiskey,47,94,NAS,OOLA Distillery,Washington,OOLA Distillery,$$,"Neat, Cocktail"
Waitsburg Cask Strength Bourbon Whiskey,58,116,NAS,OOLA Distillery,Washington,OOLA Distillery,$$$,"Neat, Water, Cocktail"
Weller Special Reserve Kentucky Straight Bourbon Whiskey,45,90,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,"Neat, Rocks, Cocktail"
Weller Antique 107 Kentucky Straight Bourbon Whiskey,53.5,107,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,"Neat, Rocks, Cocktail"
Weller Kentucky Straight Bourbon Whiskey Aged 12 Years,45,90,12 Years,Buffalo Trace,Kentucky,Sazerac ,$$$$,Neat
West of Kentucky Bourbon Whiskey No. 1 Cherry Wood Smoked,47.8,95.6,1 Year,Sonoma County Distilling Company,California,Sonoma County Distilling Company,$$$,"Neat, Cocktail"
West of Kentucky Bourbon Whiskey No. 2 Wheated,47.5,95,1 Year,Sonoma County Distilling Company,California,Sonoma County Distilling Company,$$$,"Neat, Rocks, Cocktail"
West of Kentucky Bourbon Whiskey No. 2 Wheated Cask Strength,55.3,110.6,1 Year,Sonoma County Distilling Company,California,Sonoma County Distilling Company,$$$,"Neat, Water, Cocktail"
West of Kentucky Bourbon Whiskey No. 3 High-Rye,46.5,93,1 Year,Sonoma County Distilling Company,California,Sonoma County Distilling Company,$$$,"Neat, Cocktail"
Wild Turkey 101 Kentucky Straight Bourbon Whiskey,50.5,101,NAS,Wild Turkey Distillery,Kentucky,Gruppo Campari,$$,"Neat, Rocks, Cocktail"
Wild Turkey Kentucky Straight Bourbon Whiskey 81 Proof,40.5,81,NAS,Wild Turkey Distillery,Kentucky,Gruppo Campari,$,"Neat, Cocktail"
Wild Turkey Kentucky Spirit Single Barrel Kentucky Straight Bourbon Whiskey,50.5,101,NAS,Wild Turkey Distillery,Kentucky,Gruppo Campari,$$$,"Neat, Rocks"
Wild Turkey Rare Breed Barrel Proof Kentucky Straight Bourbon Whiskey ,56.4,112.8,NAS,Wild Turkey Distillery,Kentucky,Gruppo Campari,$$,"Neat, Water"
Willlett Pot Still Reserve Kentucky Straight Bourbon Whiskey,47,94,NAS,Willett Distillery,Kentucky,Kentucky Bourbon Distillers,$$,Cocktail
Wood Hat Bourbon Rubenesque Bourbon Whiskey,50,100,3 Months,Wood Hat Spirits,Missouri,Wood Hat Spirits,$$,"Neat, Cocktail"
Wood Hat Brew Barrel Bourbon Whiskey,45,90,3 Months,Wood Hat Spirits,Missouri,Wood Hat Spirits,$$$,Neat
Wood Hat Double Wood Bourbon Whiskey,45,90,3 Months,Wood Hat Spirits,Missouri,Wood Hat Spirits,$$$,"Neat, Cocktail"
Wood Hat Montgomery County Bourbon Whiskey,45,90,3 Months,Wood Hat Spirits,Missouri,Wood Hat Spirits,$$,"Neat, Cocktail"
Woodford Reserve Kentucky Straight Bourbon Whiskey,45.2,90.4,NAS,Woodford Reserve Distillery,Kentucky,Brown-Forman,$$,"Rocks, Cocktail"
Woodinville Whiskey Company Straight Bourbon Whiskey,45,90,NAS,Woodinville Whiskey Company,Washington,Moet Hennessy,$$,"Neat, Rocks, Cocktail"
Wyoming Whiskey Small Batch Bourbon Whiskey,44,88,NAS,Wyoming Whiskey ,Wyoming,Wyoming Whiskey,$$,"Neat, Cocktail"
Yellowstone Select Kentucky Straight Bourbon Whiskey,46.5,93,NAS,Undisclosed,Kentucky,Luxco,$$,"Neat, Rocks, Cocktail"
